TestCaseId,APIName,Status,TimeStamp
GACPP_001,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:26:33:299
GACPP_002,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:26:38:972
9::14:00:05:347
CCP_002,ChargeCustomerProfile,Fail,2018/06/19::14:00:05:361
CETD_001,ChargeEncryptedTrackData,Fail,2018/06/19::14:00:05:399
CETD_002,ChargeEncryptedTrackData,Fail,2018/06/19::14:00:05:400
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:00:05:726
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:00:05:773
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:00:06:218
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:00:06:343
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:00:06:529
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:00:06:565
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:00:06:721
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:00:06:766
CCP_001,ChargeCustomerProfile,Fail,2018/06/19::14:01:05:843
CCP_002,ChargeCustomerProfile,Fail,2018/06/19::14:01:05:848
CETD_001,ChargeEncryptedTrackData,Fail,2018/06/19::14:01:05:890
CETD_002,ChargeEncryptedTrackData,Fail,2018/06/19::14:01:05:890
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:01:06:216
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:01:06:281
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:01:06:932
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:01:07:092
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:01:07:386
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:01:07:473
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:01:07:678
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:01:07:734
CCP_001,ChargeCustomerProfile,Fail,2018/06/19::14:01:31:047
CCP_002,ChargeCustomerProfile,Fail,2018/06/19::14:01:31:052
CETD_001,ChargeEncryptedTrackData,Fail,2018/06/19::14:01:31:104
CETD_002,ChargeEncryptedTrackData,Fail,2018/06/19::14:01:31:105
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:01:31:553
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:01:31:649
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:01:32:122
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:01:32:236
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:01:32:475
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:01:32:534
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:01:32:734
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:01:32:814
CCP_001,ChargeCustomerProfile,Fail,2018/06/19::14:02:09:332
CCP_002,ChargeCustomerProfile,Fail,2018/06/19::14:02:09:334
CETD_001,ChargeEncryptedTrackData,Fail,2018/06/19::14:02:09:362
CETD_002,ChargeEncryptedTrackData,Fail,2018/06/19::14:02:09:362
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:02:09:588
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:02:09:649
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:02:10:118
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:02:10:300
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:02:10:534
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:02:10:583
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:02:10:848
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:02:10:926
$$$$$$$$$$$$$$$$$$$$$$
CCP_001,ChargeCustomerProfile,Fail,2018/06/19::14:02:53:617
CCP_002,ChargeCustomerProfile,Fail,2018/06/19::14:02:53:622
CETD_001,ChargeEncryptedTrackData,Fail,2018/06/19::14:02:53:672
CETD_002,ChargeEncryptedTrackData,Fail,2018/06/19::14:02:53:672
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:02:53:999
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:02:54:068
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:02:54:576
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:02:54:726
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:02:54:898
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:02:54:941
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:02:55:137
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:02:55:185
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:04:00:164
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:04:00:344
GMD_001,GetMerchantDetails,Pass,2018/06/19::14:04:41:824
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:04:42:335
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:06:31:004
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:06:31:122
GTD_001,GetTransactionDetails,Pass,2018/06/19::14:07:27:786
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:07:28:397
66^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
GCPP_001,GetCustomerPaymentProfile,Fail,2018/06/19::14:26:55:992
GCPP_002,GetCustomerPaymentProfile,Fail,2018/06/19::14:26:56:054
UCPP_001,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:26:56:459
UCPP_002,UpdateCustomerPaymentProfile,Fail,2018/06/19::14:26:56:506
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:26:57:025
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:26:57:281
GBS_001,GetBatchStatistics,Fail,2018/06/19::14:26:57:627
GBS_002,GetBatchStatistics,Fail,2018/06/19::14:26:57:759
GMD_001,GetMerchantDetails,Fail,2018/06/19::14:26:58:014
GMD_002,GetMerchantDetails,Fail,2018/06/19::14:26:58:072
GTD_001,GetTransactionDetails,Fail,2018/06/19::14:28:00:537
GTD_002,GetTransactionDetails,Fail,2018/06/19::14:28:00:725
GTD_001,GetTransactionDetails,Pass,2018/06/19::15:16:18:174
GTD_002,GetTransactionDetails,Fail,2018/06/19::15:16:18:652
CCP_001,CreateCustomerProfile,Fail,2018/06/19::17:50:27:068
CCP_002,CreateCustomerProfile,Fail,2018/06/19::17:50:27:156
CCP_001,CreateCustomerProfile,Pass,2018/06/19::19:22:57:074
CCP_002,CreateCustomerProfile,Fail,2018/06/19::19:22:57:533
GCP_001,GetCustomerProfile,Fail,2018/06/19::19:22:57:724
GCP_002,GetCustomerProfile,Fail,2018/06/19::19:22:57:783
CCP_001,CreateCustomerProfile,Assertion Failed!,2018/06/19::19:24:33:705
CCP_002,CreateCustomerProfile,Pass,2018/06/19::19:24:34:381
GCP_001,GetCustomerProfile,Assertion Failed!,2018/06/19::19:24:35:229
GCP_002,GetCustomerProfile,Assertion Failed!,2018/06/19::19:24:35:776
GCP_001,GetCustomerProfile,Assertion Failed!,2018/06/20::11:55:35:007
GCP_002,GetCustomerProfile,Assertion Failed!,2018/06/20::11:55:35:609
UCP_001,UpdateCustomerProfile,Fail,2018/06/20::11:55:36:420
UCP_002,UpdateCustomerProfile,Fail,2018/06/20::11:55:37:120
GCP_001,GetCustomerProfile,Fail,2018/06/20::11:56:57:265
GCP_002,GetCustomerProfile,Fail,2018/06/20::11:56:57:334
UCP_001,UpdateCustomerProfile,Fail,2018/06/20::11:56:57:703
UCP_002,UpdateCustomerProfile,Fail,2018/06/20::11:56:57:751
CCC_001,ChargeCreditCard,Fail,2018/06/20::16:16:18:930
CCC_002,ChargeCreditCard,Fail,2018/06/20::16:16:18:994
ACC_001,AuthorizeCreditCard,Fail,2018/06/20::16:16:19:083
ACC_002,AuthorizeCreditCard,Fail,2018/06/20::16:16:19:133
CFA_001,CaptureFundsAuthorizedThroughAnotherChannel,Fail,2018/06/20::16:16:19:340
CFA_002,CaptureFundsAuthorizedThroughAnotherChannel,Fail,2018/06/20::16:16:19:402
CCP_001,CreateCustomerProfile,Fail,2018/06/20::16:16:19:686
CCP_002,CreateCustomerProfile,Fail,2018/06/20::16:16:19:730
GCP_001,GetCustomerProfile,Fail,2018/06/20::16:16:19:903
GCP_002,GetCustomerProfile,Fail,2018/06/20::16:16:19:953
UCP_001,UpdateCustomerProfile,Fail,2018/06/20::16:16:20:159
UCP_002,UpdateCustomerProfile,Fail,2018/06/20::16:16:20:205
DCP_001,DeleteCustomerProfile,Fail,2018/06/20::16:16:20:407
DCP_002,DeleteCustomerProfile,Fail,2018/06/20::16:16:20:456
GCP_001,GetCustomerShippingAddress,Fail,2018/06/22::11:36:31:372
GCP_002,GetCustomerShippingAddress,Fail,2018/06/22::11:36:36:446
GCSA_001,GetCustomerShippingAddress,Fail,2018/06/22::11:37:26:186
GCSA_002,GetCustomerShippingAddress,Fail,2018/06/22::11:37:31:683
GCP_001,GetCustomerShippingAddress,Fail,2018/06/22::11:38:42:149
GCP_002,GetCustomerShippingAddress,Fail,2018/06/22::11:38:47:243
GCP_001,GetCustomerShippingAddress,Fail,2018/06/22::11:42:17:499
GCP_002,GetCustomerShippingAddress,Fail,2018/06/22::11:42:22:578
DBA_001,DebitBankAccount,Fail,2018/06/22::11:57:18:538
DBA_002,DebitBankAccount,Fail,2018/06/22::11:57:18:552
GMD_001,GetMerchantDetails,Fail,2018/06/22::12:16:24:901
GMD_002,GetMerchantDetails,Fail,2018/06/22::12:16:30:344
GMD_001,GetMerchantDetails,Fail,2018/06/22::12:48:43:177
GMD_002,GetMerchantDetails,Fail,2018/06/22::12:48:48:252
DBA_001,DebitBankAccount,Fail,2018/06/22::13:14:23:018
DBA_002,DebitBankAccount,Fail,2018/06/22::13:14:23:026
GMD_001,GetMerchantDetails,Pass,2018/06/22::13:14:28:968
GMD_002,GetMerchantDetails,Fail,2018/06/22::13:14:34:727
GMD_001,GetMerchantDetails,Fail,2018/06/22::14:27:10:186
GMD_002,GetMerchantDetails,Fail,2018/06/22::14:27:15:257
GMD_001,GetMerchantDetails,Fail,2018/06/22::14:27:35:029
GMD_002,GetMerchantDetails,Fail,2018/06/22::14:27:40:120
GMD_001,GetMerchantDetails,Fail,2018/06/22::14:28:01:067
GMD_002,GetMerchantDetails,Fail,2018/06/22::14:28:06:157
GMD_001,GetMerchantDetails,Fail,2018/06/22::14:28:23:745
GMD_002,GetMerchantDetails,Fail,2018/06/22::14:28:28:818
CACFPT_001,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:04:36:615
CACFPT_002,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:04:42:097
CACFPT_001,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:05:615
CACFPT_002,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:11:088
CACFPT_001,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:16:466
CACFPT_002,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:21:823
CACFPT_001,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:27:856
CACFPT_002,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:33:267
CACFPT_001,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:38:670
CACFPT_002,createCustomerFromPaymentTransaction,Fail,2018/06/22::15:06:44:031
GACPP_001,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:22:09:782
GACPP_002,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:22:15:193
GACPP_001,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:27:20:169
GACPP_002,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:27:25:239
GCPPL_001,GetCustomerPaymentProfileList,Fail,2018/06/22::15:56:54:751
GCPPL_002,GetCustomerPaymentProfileList,Fail,2018/06/22::15:56:59:824
GACPP_001,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:57:05:090
GACPP_002,GetAcceptCustomerProfilePage,Fail,2018/06/22::15:57:10:135
GCPI_001,GetCustomerProfileIds,Fail,2018/06/22::18:22:41:033
GCPI_002,GetCustomerProfileIds,Fail,2018/06/22::18:22:46:098
VVCPP_001,validateCustomerPaymentProfile,Fail,2018/06/22::18:41:03:074
VVCPP_002,validateCustomerPaymentProfile,Fail,2018/06/22::18:41:08:593
GAPP_001,GetAnAcceptPaymentPage,Fail,2018/06/22::19:10:59:941
GAPP_002,GetAnAcceptPaymentPage,Fail,2018/06/22::19:11:00:049
VVCPP_001,validateCustomerPaymentProfile,Fail,2018/06/22::19:11:08:119
VVCPP_002,validateCustomerPaymentProfile,Fail,2018/06/22::19:11:13:620
GAPP-001,GetAnAcceptPaymentPage,Pass,2018/06/22::19:12:09:648
GAPP_002,GetAnAcceptPaymentPage,Fail,2018/06/22::19:12:09:652
RT_001,RefundTransaction,Fail,2018/06/22::19:42:58:130
RT_002,RefundTransaction,Fail,2018/06/22::19:43:03:639
USTC_001,UpdateSplitTenderCustomer,Fail,2018/06/23::17:07:21:426
USTC_002,UpdateSplitTenderCustomer,Fail,2018/06/23::17:07:27:977
VT_001,VoidTransaction,Fail,2018/06/23::18:05:35:922
VT_002,VoidTransaction,Fail,2018/06/23::18:05:40:981
GAUJD_001,GetAccountUpdaterJobDetails,Pass,2018/06/23::23:45:54:954
GAUJD_001,GetAccountUpdaterJobDetails,Fail,2018/06/24::00:08:20:475
GAUJD_002,GetAccountUpdaterJobDetails,Fail,2018/06/24::00:08:25:533
GAUJD_001,GetAccountUpdaterJobDetails,Fail,2018/06/24::00:17:05:176
GAUJD_002,GetAccountUpdaterJobDetails,Fail,2018/06/24::00:17:10:255
GAUJD_001,GetAccountUpdaterJobDetails,Pass,2018/06/24::01:06:52:663
GAUJD_002,GetAccountUpdaterJobDetails,Fail,2018/06/24::01:06:57:995
GAUJD_001,GetAccountUpdaterJobDetails,Fail,2018/06/24::01:09:05:844
GAUJD_002,GetAccountUpdaterJobDetails,Fail,2018/06/24::01:09:10:914
GAUJD_001,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:27:13:893
GAUJD_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:27:18:949
GAUJD_001,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:28:58:916
GAUJD_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:29:04:004
GAUJS_001,GetAccountUpdaterJobSummary,Pass,2018/06/24::01:33:57:023
GAUJS_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:34:02:421
GAUJS_001,GetAccountUpdaterJobSummary,Pass,2018/06/24::01:36:34:965
GAUJS_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:36:40:288
GAUJS_001,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:41:11:185
GAUJS_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:41:16:303
GAUJS_001,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:51:06:336
GAUJS_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:51:11:425
GAUJS_001,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:54:09:353
GAUJS_002,GetAccountUpdaterJobSummary,Fail,2018/06/24::01:54:14:447
CAT_001,CreateAnAcceptTransaction,Fail,2018/06/24::16:49:35:974
CAT_002,CreateAnAcceptTransaction,Fail,2018/06/24::16:49:35:978
CAPT_001,CreateAnAndroidPayTransaction,Fail,2018/06/24::17:14:03:172
CAPT_002,CreateAnAndroidPayTransaction,Fail,2018/06/24::17:14:03:175
CAAPT_001,CreateAnApplePayTransaction,Fail,2018/06/24::17:32:05:719
CAAPT_002,CreateAnApplePayTransaction,Fail,2018/06/24::17:32:10:836
CAS_001,CancleASubscription,Fail,2018/06/24::18:21:11:954
CAS_002,CancleASubscription,Fail,2018/06/24::18:21:17:007
CS_001,CreateSubscription,Fail,2018/06/24::18:38:18:859
CS_002,CreateSubscription,Fail,2018/06/24::18:38:23:919
CASFCP_001,CreateSubscriptionFromCustomerProfile,Fail,2018/06/24::18:51:27:896
CASFCP_002,CreateSubscriptionFromCustomerProfile,Fail,2018/06/24::18:51:27:909
GLOS_001,GetListOfSubscription,Fail,2018/06/24::19:09:32:021
GLOS_002,GetListOfSubscription,Fail,2018/06/24::19:09:37:325
GAS_001,GetASubscription,Fail,2018/06/24::19:25:22:731
GAS_002,GetASubscription,Fail,2018/06/24::19:25:27:790
GSS_001,GetSubscriptionStatus,Fail,2018/06/24::19:35:31:559
GSS_002,GetSubscriptionStatus,Fail,2018/06/24::19:35:37:071
UAS_001,UpdateASubscription,Fail,2018/06/24::19:50:30:996
UAS_002,UpdateASubscription,Fail,2018/06/24::19:50:36:059
DVCD_001,DecryptVisaCheckoutData,Pass,2018/06/25::12:06:47:591
DVCD_002,DecryptVisaCheckoutData,Fail,2018/06/25::12:06:53:767
AAC_001,AuthorizationAndCapture,Fail,2018/06/25::12:15:08:317
AAC_002,AuthorizationAndCapture,Fail,2018/06/25::12:15:08:327
AACC_001,AuthorizationAndCaptureContinue,Fail,2018/06/25::12:30:07:674
AACC_002,AuthorizationAndCaptureContinue,Fail,2018/06/25::12:30:12:725
AO_001,AuthorizationOnly,Fail,2018/06/25::14:50:19:294
AO_002,AuthorizationOnly,Fail,2018/06/25::14:50:24:367
AOC_001,AuthorizationOnlyContinued,Fail,2018/06/25::15:03:01:271
AOC_002,AuthorizationOnlyContinued,Fail,2018/06/25::15:03:06:433
PAC_001,PayPalCredit,Fail,2018/06/25::16:13:30:232
PAC_002,PayPalCredit,Fail,2018/06/25::16:13:35:347
GD_001,GetDetails,Fail,2018/06/25::18:31:49:136
GD_002,GetDetails,Fail,2018/06/25::18:31:54:219
PAC_001,PriorAuthorizeCapture,Fail,2018/06/25::18:40:35:938
PAC_002,PriorAuthorizeCapture,Fail,2018/06/25::18:40:40:978
PAC_001,PriorAuthorizeCapture,Fail,2018/06/25::18:41:32:611
PAC_002,PriorAuthorizeCapture,Fail,2018/06/25::18:41:37:663
DVCD_001,DecryptVisaCheckoutData,Pass,2018/06/25::18:42:41:618
DVCD_002,DecryptVisaCheckoutData,Fail,2018/06/25::18:42:47:099
CVCT_001,CreateVisaCheckoutTransaction,Fail,2018/06/25::18:43:13:103
CVCT_002,CreateVisaCheckoutTransaction,Fail,2018/06/25::18:43:18:603
AO_001,AuthorizationOnly,Pass,2018/06/25::18:43:49:825
AO_002,AuthorizationOnly,Pass,2018/06/25::18:43:56:876
CTD_001,ChargeTrackData,Fail,2018/06/25::18:46:03:941
CTD_002,ChargeTrackData,Fail,2018/06/25::18:46:03:960
PAC_001,PriorAuthorizeCapture,Fail,2018/06/25::18:46:40:332
PAC_002,PriorAuthorizeCapture,Fail,2018/06/25::18:46:46:653
PAC_001,PriorAuthorizeCapture,Fail,2018/06/25::18:48:52:033
PAC_002,PriorAuthorizeCapture,Fail,2018/06/25::18:48:57:320
PPV_001,PayPalVoid,Fail,2018/06/25::19:15:44:357
PPV_002,PayPalVoid,Fail,2018/06/25::19:15:49:971
